N_REG;NOMBRE_FUNDACION;OBS;ANTIGUA_DENOMINACION;SIGLAS;WEB;CORREO_ELECTRONICO;DIRECCION;DIRECCION_SEDE;PROV;CIUDAD;PROVINCIA;CP;TEL;FAX;CIF;FECHA_INSCRIPCION;FECHA_FUSION;FECHA_EXTINCION;FIN;FIN_2;FIN_3;OBJETO
001A;FUNDACIÓN AYNAT DE LA COMUNITAT VALENCIANA;;FUNDACIÓN COLEGIO NUESTRA SEÑORA DE LOS DOLORES (AYNAT);;;;Calle de Corredera, 39.  Colegio Nuestra Señora de los Dolores;Calle de Corredera, 39. Colegio Nuestra Señora de los Dolores;3;VILLENA;ALICANTE;3400;96 580 06 92;;Q0300066H;1943/05/13 00:00:00.000;;;41;;;(art. 6) La Fundación AYNAT tiene por objeto sufragar becas a las/os niñas/os de Villena y su comarca, de manera especial a las/os que carezcan de recursos, a fin de proporcionar educación e instrucción. Corresponde al Patronato de la Fundación determinar el modo en que se deberá cumplir los fines de este artículo. Las prestaciones de la Fundación se otorgarán de forma no lucrativa.
001V;FUNDACIÓN COLEGIO-ASILO DE LA ENCARNACIÓN;;;;;fundacionencarnacion@gmail.com;Plaza San Pedro, 5;Plaza San Pedro, 5;46;SUECA;VALÈNCIA;46410;605 395 170;170 03 25;Q4600018H;1921/03/23 00:00:00.000;;;11;;;Atender a niños o niñas necesitados en el número que permitan las posibilidades económicas de la misma, dando prioridad a dar educación sólidamente cristiana.- Siempre que se considere oportuno y la situación económica lo haga posible, podrá la Fundación ser titular de un Centro de educación preescolar, básica y superior.
002C;FUNDACIÓN COLEGIO PUERTOLAS PARDO DE LA COMUNITAT VALENCIANA;;;;;direccion@puertolaspardo.org - administracion@puertolaspardo.org;Glorieta Santa María Rosa Molas, nº 1;Glorieta Santa María Rosa Molas, nº 1;12;L'ALCORA;CASTELLÓN;12110;964 360083;96 436 00 83;G12488573;1930/10/21 00:00:00.000;;;41;;;La Fundación, por voluntad de la fundadora, tiene por objeto la educación católica de niños, niñas y adolescentes, en edad escolar. Dicha actividad podrá ser desarrollada tanto de una forma directa como ondirecta, entendida ésta última como la cesión de uso de su patrimonio para el desarrollo de dichas actividades. En todo caso, corresponde al Patronato de la Fundación determinar el modo en que se deberán cumplir los fines fundacionales. Las prestaciones de la Fundación se otorgarán de forma lucrativa. La Fundación también podrá realizar cualquier tipo de actividad de naturaleza educativa y de carácter gratuito que contribuya a la educación cristiana de los beneficiarios.
003A;FUNDACIÓN ZARAGOZA FUSTER;;;;;;Edificio Escuela Almafrà;;3;BENIDORM;ALICANTE;3500;;;;1954/05/31 00:00:00.000;;;41;;;Construir y, en cuanto fuera posible, sostener una escuela de niños y otra de niñas.
003C;ESCUELA BENÉFICA NUESTRA SEÑORA DE LA CONSOLACIÓN FUNDACIÓN DE LA COMUNIDAD VALENCIANA;;;;;fundacionconsolacion.forcall@gmail.com;Calle de Petra Palos, 8;;12;FORCALL;CASTELLÓN;12310;660.71.76.90 de José Luis Palos;;;1956/05/05 00:00:00.000;;;41;;;Según el art. 6 la fundación  tiene por objeto la formación y promoción de las personas, que atiende al desarrollo integral de las mismas tanto en el ámbito personal como de grupo. Se entiende por formación integral aquella que comprende las inquietudes y las necesidades materiales y espirituales de las mismas
004V;FUNDACIÓN SAN PIO X;;;;;;Avda. Jacinto Benavente, 2;;46;VALÈNCIA;VALÈNCIA;46005;963 74 67 47 Secretario;;G96852975;1965/07/14 00:00:00.000;;;41;;;Premiar y costear trabajos y publicaciones eclesiásticos, realizados por alumnos, profesores y superiores del seminario metropolitano de Valencia, también podrá financiar cursillos, conferencias, seminarios, dirigidos a promover vocaciones de investigación.
006C;FUNDACIÓ DOCENT PRIVADA DE LES COVES DE VINROMÀ DE LA COMUNITAT VALENCIANA;;;;;;c/ Ceramista Godofredo Buenos Aires, nº 20,Esc. B, 7ºC;Calle de Raval de Valencia, 132.- 12186 Coves de Vinromà;12;CASTELLON;CASTELLÓN;12005;964 23 60 65;;G12238788;1983/07/27 00:00:00.000;;;41;;;"(art. 6) La Fundació té per objecte promocionar atruistament, per ella mateixa o per mig de tercers, el foment i les ajudes als jóvens de les Coves de Vinromà: estudiants universitaris, preferentment de Magisteri i de Ciències Econòmiques i Empresarials, estudiants del Curs d'Orientació Universitària o l'equivalent que el substituïsca seguns la legislació educativa vigent en cada moment; i aquells que emprenguen qualsevol activitat de tipus cultural, sempre que merequen, a recte parer i juí del Patronato, les ajudes de la Fundació. Correspon al Patronat de la Fundació determinar el mode com es deuran complir les finalitats enumerades en aquest article. Les prestacions de la Fundació s'otorgaran de forma no lucrativa. Tindrà igualment per objecte totes aquelles funcions que vagen en beneficie de la finalitat cultural que es persegueix, dins del camp d'aplicació assenyalat, així com la gestió i administració que puga fer possible l'exercici de dites funcions, a més de totes aquelles activitats que foren necessàries o convenients per a l'objecte principal."
008C;FUNDACIÓN PATRONATO DE GRAU Y GRAS;;;;;;Calle de Grau y Gras, 2;;12;BENASAL;CASTELLÓN;12160;;;G12375101;1918/08/13 00:00:00.000;;;41;;;Sostenimiento de una escuela gratuita para niños y pobres de ambos sexos, en la que se podrán admitir de pago, en el pueblo de Benasal.- Tiene otra finalidad que es exclusivamente benéfica y destinada a Hospital. (Real Orden del Ministerio de la Gobernación de 13 de mayo de 1918, por la que la clasifica de beneficencia particular).
008V;FUNDACIÓN DE LA COMUNIDAD VALENCIANA DOÑA VICENTA FERRER LLOPIS Y DON FRANCISCO CARBONELL SANZ;;VICENTA FERRER LLOPIS Y FRANCISCO CARBONELL SANZ;;;linalaco@hotmail.com      direccioncullera@maristasmediterranea.com;Avda. del Puerto, nº 21 (Colegio San Vicente Ferrer);;46;CULLERA;VALÈNCIA;46400;961723011;;G46433215;1964/01/21 00:00:00.000;;;41;;;La educación cristiana de niños pobres residentes en Cullera: instrucción elemental, enseñanza media y moral católica, sostener becas para estudios universitarios, escuelas especiales y seminarios, construir un colegio en Cullera, fomentar las vocaciones sacerdotales y elevar el nivel cultural de Cullera.-
009A;FUNDACIÓN GAVILÁ FERRER;;;;;fgavilaferrer@gmail.com;Calle Pare Pere nº 10 bajo;;3;DENIA;ALICANTE;3700;966425351;;G-03671450;1936/02/01 00:00:00.000;;;41;;;a) Dar educación gratuita de primera y segunda enseñanza a los niños del distrito de Denia en centros regentados por órdenes religiosas. b) Conceder becas para el desarrollo de temas y actividades relacionados con el mundo de la ciencia, arte, música y religión católica. c) Conceder ayuda económica a los beneficiarios. Serán beneficiarios de la Fundación los niños y los jóvenes del Distrito Municipal de Denia.
