"Año";"Periodo";"Hombres";"Mujeres"
"1980";"Año";"1.237";"415"
"1981";"Año";"1.268";"450"
"1982";"Año";"1.336";"515"
"1983";"Año";"1.593";"588"
"1984";"Año";"1.836";"657"
"1985";"Año";"1.829";"685"
"1986";"Año";"2.032";"723"
"1987";"Año";"2.017";"787"
"1988";"Año";"2.150";"810"
"1989";"Año";"2.213";"774"
"1990";"Año";"2.135";"804"
"1991";"Año";"2.139";"777"
"1992";"Año";"2.104";"682"
"1993";"Año";"2.283";"754"
"1994";"Año";"2.429";"742"
"1995";"Año";"2.408";"749"
"1996";"Año";"2.451";"869"
"1997";"Año";"2.526";"847"
"1998";"Año";"2.499";"762"
"1999";"Año";"2.410";"808"
"2000";"Año";"2.574";"819"
"2001";"Año";"2.430";"759"
"2002";"Año";"2.554";"817"
"2003";"Año";"2.650";"828"
"2004";"Año";"2.651";"856"
"2005";"Año";"2.570";"829"
"2006";"Año";"2.512";"734"
"2007";"Año";"2.463";"800"
"2008";"Año";"2.676";"781"
"2009";"Año";"2.666";"763"
"2010";"Año";"2.468";"690"
"2011";"Año";"2.435";"745"
"2012";"Año";"2.724";"815"
"2013";"Año";"2.911";"959"
"2014";"Año";"2.938";"972"
"2015";"Año";"2.680";"922"
"2016";"Año";"2.662";"907"
"2017";"Año";"2.718";"961"
"2018";"Año";"2.619";"920"
"2019";"Año";"2.771";"900"
"2020";"Año";"2.930";"1.011"
"2021";"Año";"2.982";"1.021"
;;;
;;;
"Métrica":"Hombres"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Métrica":"Mujeres"
"Fuente":"INE"
"Clasificación":""
"Unidad":"Personas"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;;
;;;
"Url":"https://www.epdata.es/numero-suicidios-ocurridos-espana-1980-2019-sexo/3291c046-bf4d-468c-bf86-349243e933c2"
"Titulo":"Número de suicidios ocurridos en España entre 1980 y 2021 según sexo"
"Subtitulo":""
