"Marca temporal","¿Sueles saltarte semáforos en rojo?","¿Sueltes sobrepasar el límite de velocidad?","¿Sueles mirar el móvil mientras conduces?","¿Has tenido alguna vez un accidente?","En caso afirmativo, ¿puedes indicar el motivo?"
"2023/04/02 12:59:25 p. m. EET","Alguna vez","Alguna vez","Alguna vez","No",""
"2023/04/02 1:02:38 p. m. EET","Nunca","Alguna vez","Nunca","Sí","Otros"
"2023/04/02 1:03:28 p. m. EET","Nunca","Frecuentemente","Alguna vez","No",""
"2023/04/02 1:05:51 p. m. EET","Alguna vez","Ocasionalmente","Ocasionalmente","Sí","Otros"
"2023/04/02 1:07:03 p. m. EET","Nunca","Frecuentemente","Alguna vez","Sí","Distracciones al volante"
"2023/04/02 1:07:48 p. m. EET","Nunca","Alguna vez","Nunca","No",""
"2023/04/02 1:09:13 p. m. EET","Alguna vez","Frecuentemente","Frecuentemente","Sí","Velocidad"
"2023/04/02 1:12:19 p. m. EET","Nunca","Alguna vez","Nunca","No",""
"2023/04/02 1:13:58 p. m. EET","Ocasionalmente","Nunca","Alguna vez","No",""
"2023/04/02 1:15:10 p. m. EET","Nunca","Alguna vez","Nunca","Sí","Otros"
"2023/04/02 1:18:56 p. m. EET","Nunca","Alguna vez","Alguna vez","No",""
"2023/04/02 1:20:21 p. m. EET","Nunca","Ocasionalmente","Alguna vez","Sí","Otros"
"2023/04/02 1:23:29 p. m. EET","Nunca","Frecuentemente","Alguna vez","No",""
"2023/04/02 1:43:42 p. m. EET","Alguna vez","Alguna vez","Alguna vez","No",""
"2023/04/02 1:47:38 p. m. EET","Nunca","Nunca","Alguna vez","No",""
"2023/04/02 1:49:21 p. m. EET","Ocasionalmente","Ocasionalmente","Ocasionalmente","No",""
"2023/04/02 2:06:02 p. m. EET","Alguna vez","Frecuentemente","Frecuentemente","No",""
"2023/04/02 2:06:57 p. m. EET","Alguna vez","Alguna vez","Frecuentemente","No","Otros"
"2023/04/02 2:08:08 p. m. EET","Alguna vez","Nunca","Nunca","No",""
"2023/04/02 2:13:45 p. m. EET","Nunca","Nunca","Nunca","No",""
"2023/04/02 2:15:48 p. m. EET","Nunca","Frecuentemente","Alguna vez","No",""
"2023/04/02 2:18:03 p. m. EET","Nunca","Alguna vez","Alguna vez","No",""
"2023/04/02 2:26:15 p. m. EET","Nunca","Alguna vez","Nunca","No",""
"2023/04/02 2:27:51 p. m. EET","Nunca","Alguna vez","Nunca","Sí","Ignorar una señalización de tráfico"
"2023/04/02 2:33:29 p. m. EET","Nunca","Nunca","Nunca","No","Otros"
"2023/04/02 2:38:16 p. m. EET","Nunca","Ocasionalmente","Alguna vez","No",""
"2023/04/02 3:05:36 p. m. EET","Nunca","Alguna vez","Alguna vez","No",""
"2023/04/02 3:06:54 p. m. EET","Nunca","Frecuentemente","Alguna vez","Sí","Otros"
"2023/04/02 3:36:10 p. m. EET","Alguna vez","Alguna vez","Nunca","No","Otros"
"2023/04/02 3:39:23 p. m. EET","Alguna vez","Frecuentemente","Alguna vez","No",""
"2023/04/02 3:59:04 p. m. EET","Nunca","Frecuentemente","Nunca","No",""
"2023/04/02 3:59:45 p. m. EET","Alguna vez","Frecuentemente","Alguna vez","Sí","Otros"
"2023/04/02 4:08:49 p. m. EET","Nunca","Alguna vez","Nunca","Sí","Ignorar una señalización de tráfico"
"2023/04/02 4:53:10 p. m. EET","Nunca","Alguna vez","Alguna vez","No",""
"2023/04/02 5:18:49 p. m. EET","Alguna vez","Alguna vez","Alguna vez","No",""
"2023/04/02 5:50:13 p. m. EET","Nunca","Frecuentemente","Alguna vez","Sí","Otros"
"2023/04/02 6:47:46 p. m. EET","Nunca","Alguna vez","Nunca","No",""
"2023/04/02 7:17:10 p. m. EET","Ocasionalmente","Ocasionalmente","Ocasionalmente","No",""
"2023/04/02 9:19:30 p. m. EET","Frecuentemente","Frecuentemente","Ocasionalmente","No",""
"2023/04/02 9:32:34 p. m. EET","Nunca","Frecuentemente","Ocasionalmente","No","Otros"
"2023/04/02 9:33:53 p. m. EET","Nunca","Alguna vez","Alguna vez","Sí","Otros"
"2023/04/02 9:38:51 p. m. EET","Alguna vez","Frecuentemente","Alguna vez","No",""
"2023/04/02 11:39:06 p. m. EET","Alguna vez","Ocasionalmente","Frecuentemente","No","Otros"
"2023/04/03 6:33:02 a. m. EET","Nunca","Frecuentemente","Frecuentemente","Sí","Alcohol y drogas"
"2023/04/03 7:58:28 a. m. EET","Alguna vez","Frecuentemente","Alguna vez","Sí","Ignorar una señalización de tráfico"
"2023/04/03 8:09:26 a. m. EET","Nunca","Nunca","Alguna vez","Sí","Distracciones al volante"
"2023/04/03 8:21:25 a. m. EET","Alguna vez","Frecuentemente","Nunca","Sí","Otros"
"2023/04/03 8:40:08 a. m. EET","Ocasionalmente","Ocasionalmente","Ocasionalmente","No",""
"2023/04/03 8:53:13 a. m. EET","Nunca","Nunca","Nunca","No",""
"2023/04/03 9:05:32 a. m. EET","Alguna vez","Alguna vez","Alguna vez","No",""
